,precno,name,type,location,address
149,202.0,CORNELIUS TOWN HALL,Campaigning Permitted,CORNELIUS TOWN HALL - COMMUNITY HALL,"21445 CATAWBA AVE, CORNELIUS, NC"
150,200.0,BERRYHILL BAPTIST CHURCH,Restricted,BERRYHILL BAPTIST CHURCH - FELLOWSHIP HALL,"9801 WALKERS FERRY RD, CHARLOTTE, NC"
151,201.0,J H GUNN ELEMENTARY SCHOOL,Campaigning Permitted,J H  GUNN ELEMENTARY SCHOOL -  MULTI PURPOSE ROOM,"7400 HARRISBURG RD, CHARLOTTE, NC"
152,203.0,ROBINSON PRESBYTERIAN CHURCH,Restricted,ROBINSON PRESBYTERIAN CHURCH - FELLOWSHIP HALL,"9424 HARRISBURG RD, CHARLOTTE, NC"
153,204.0,BACK CREEK PRESBYTERIAN CHURCH,Restricted,BACK CREEK PRESBYTERIAN CHURCH - GYM,"1821 BACK CREEK CHURCH RD, CHARLOTTE, NC"
154,205.0,REEDY CREEK ELEMENTARY SCHOOL,Campaigning Permitted,REEDY CREEK ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"10801 PLAZA RD EXT, CHARLOTTE, NC"
155,206.0,DAVIDSON TOWN HALL,Campaigning Permitted,DAVIDSON TOWN HALL - MEETING ROOM,"216 S MAIN ST, DAVIDSON, NC"
156,208.0,BETHEL PRESBYTERIAN CHURCH,Restricted,BETHEL PRESBYTERIAN CHURCH - GYM,"19920 BETHEL CHURCH RD, CORNELIUS, NC"
157,209.0,TRILLIUM SPRINGS MONTESSORI SCHOOL,Campaigning Permitted,TRILLIUM SPRINGS MONTESSORI SCHOOL,"9213 BEATTIES FORD RD, HUNTERSVILLE, NC"
158,210.0,MCCROREY YMCA,Restricted,MCCROREY YMCA - GYM,"3801 BEATTIES FORD RD, CHARLOTTE, NC"
159,212.0,OASIS SHRINE TEMPLE,Campaigning Permitted,OASIS SHRINE TEMPLE - THE SANDS,"604 DOUG MAYES PL, CHARLOTTE, NC"
160,215.0,MATTHEWS COMMUNITY CENTER,Campaigning Permitted,MATTHEWS COMMUNITY CENTER - COMMUNITY ROOM,"100 E MCDOWELL ST, MATTHEWS, NC"
161,216.0,CROWN POINT ELEMENTARY SCHOOL,Campaigning Permitted,CROWN POINT SCHOOL - MULTI-PURPOSE ROOM,"3335 SAM NEWELL RD, MATTHEWS, NC"
162,217.0,CHRIST COVENANT CHURCH,Restricted,CHRIST COVENANT CHURCH - WORSHIP CENTER,"800 FULLWOOD LN, MATTHEWS, NC"
163,219.0,MINT HILL TOWN HALL,Campaigning Permitted,MINT HILL TOWN HALL - MEETING ROOM,"4430 MINT HILL VILLAGE LN, CHARLOTTE, NC"
164,220.0,MINT HILL MASONIC LODGE #742,Restricted,MINT HILL MASONIC LODGE #742 - MAIN ROOM,"10224 LAWYERS RD, CHARLOTTE, NC"
165,221.0,PHILADELPHIA PREBYTERIAN CHURCH,Restricted,PHILADELPHIA PRESBYTERIAN CHURCH - KERR BUILDING,"11501 BAIN SCHOOL RD, CHARLOTTE, NC"
166,222.0,OAKDALE ELEMENTARY SCHOOL,Campaigning Permitted,OAKDALE ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"1825 OAKDALE RD, CHARLOTTE, NC"
167,223.0,COOKS MEMORIAL PRESBYTERIAN CHURCH,Restricted,COOKS MEMORIAL PRESBYTERIAN CHURCH - FELLOWSHIP HALL,"3413 MT HOLLY-HUNTERSVILLE RD, CHARLOTTE, NC"
168,224.0,GARDEN MEMORIAL PRESBYTERIAN CHURCH,Restricted,GARDEN MEMORIAL PRESBYTERIAN CHURCH - FELLOWSHIP HALL,"2324 SAM WILSON RD, CHARLOTTE, NC"
169,225.0,BELLE JOHNSTON COMMUNITY CENTER,Campaigning Permitted,BELLE JOHNSTON COMMUNITY CENTER - GYM,"1000 JOHNSTON DR, PINEVILLE, NC"
170,226.0,MCALPINE ELEMENTARY SCHOOL,Campaigning Permitted,MCALPINE ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"9100 CARSWELL LN, CHARLOTTE, NC"
171,227.0,MCKEE ROAD ELEMENTARY SCHOOL,Campaigning Permitted,MCKEE ROAD ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"4101 MCKEE RD, CHARLOTTE, NC"
172,228.0,KENNEDY MIDDLE SCHOOL,Campaigning Permitted,KENNEDY MIDDLE SCHOOL - GYM,"4000 GALLANT LN, CHARLOTTE, NC"
173,229.0,CHRIST THE KING LUTHERAN CHURCH,Restricted,CHRIST THE KING LUTHERAN CHURCH - MULTI PURPOSE,"13501 S TRYON ST, CHARLOTTE, NC"
174,230.0,BEREWICK RECREATION CENTER,Unrestricted,BEREWICK RECREATION CENTER - MULTI-PURPOSE ROOM,"5910 DIXIE RIVER RD, CHARLOTTE, NC"
175,231.0,PINEVILLE UNITED METHODIST CHURCH,Restricted,PINEVILLE UNITED METHODIST CHURCH - FELLOWSHIP BUILDING,"110 S POLK ST, PINEVILLE, NC"
176,233.0,ELIZABETH LANE ELEMENTARY SCHOOL,Campaigning Permitted,ELIZABETH LANE ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"121 ELIZABETH LN, MATTHEWS, NC"
177,137.0,POLO RIDGE ELEMENTARY,Unrestricted,POLO RIDGE ELEMENTARY - GYMNASIUM,"11830 TOM SHORT RD, CHARLOTTE, NC"
178,239.0,MALLARD CREEK RECREATION CENTER,Campaigning Permitted,MALLARD CREEK RECREATION CENTER - GYM,"2530 JOHNSTON OEHLER RD, CHARLOTTE, NC"
179,41.0,HOSKINS AVENUE BAPTIST CHURCH,Restricted,HOSKINS AVENUE BAPTIST CHURCH - FELLOWSHIP HALL,"101 S HOSKINS RD, CHARLOTTE, NC"
180,101.0,CARMEL PLACE,Restricted,CARMEL PLACE - ACTIVITY ROOM,"5512 CARMEL RD, CHARLOTTE, NC"
181,128.0,MALLARD CREEK ELEMENTARY SCHOOL,Campaigning Permitted,MALLARD CREEK ELEMENTARY SCHOOL - GYM,"9801 MALLARD CREEK RD, CHARLOTTE, NC"
182,4.0,GATEWAY BAPTIST CHURCH,Partially Restricted/No Signs,GATEWAY BAPTIST CHURCH - FELLOWSHIP HALL,"6321 ROBINSON CHURCH RD, CHARLOTTE, NC"
183,141.0,UNIVERSITY CITY REGIONAL LIBRARY,Campaigning Permitted,UNIVERSITY CITY REGIONAL LIBRARY - COMMUNITY ROOM,"301 E W T HARRIS BLVD, CHARLOTTE, NC"
184,240.0,COMMUNITY IN CHRIST LUTHERAN CHURCH,Restricted,COMMUNITY IN CHRIST LUTHERAN CHURCH - FELLOWSHIP HALL,"7621 NORMAN ISLAND DR, CORNELIUS, NC"
185,214.0,UNIVERSITY CITY UNITED METHODIST CHURCH,Restricted,UNIVERSITY CITY UNITED METHODIST CHURCH - FELLOWSHIP HALL,"3835 W W T HARRIS BLVD, CHARLOTTE, NC"
186,218.0,MT HARMONY BAPTIST CHURCH,Restricted,MT HARMONY BAPTIST CHURCH - FELLOWSHIP HALL,"2817 MT HARMONY CHURCH RD, MATTHEWS, NC"
187,234.0,NORTHEAST MIDDLE SCHOOL,Campaigning Permitted,NORTHEAST MIDDLE SCHOOL -  GYM,"5960 BRICKSTONE DR, CHARLOTTE, NC"
188,235.0,LEBANON ROAD ELEMENTARY SCHOOL,Campaigning Permitted,LEBANON ROAD ELEMENTARY SCHOOL - GYM,"7300 LEBANON RD, CHARLOTTE, NC"
189,236.0,BLAIR ROAD UNITED METHODIST CHURCH,Restricted,BLAIR ROAD UNITED METHODIST CHURCH - FAMILY LIFE CENTER,"9135 BLAIR RD, CHARLOTTE, NC"
190,237.0,UNIVERSITY MEADOWS ELEMENTARY SCHOOL,Campaigning Permitted,UNIVERSITY MEADOWS ELEMENTARY SCHOOL - GYM,"1600 PAVILION BLVD, CHARLOTTE, NC"
191,238.0,DAVID COX ROAD ELEMENTARY SCHOOL,Campaigning Permitted,DAVID COX ROAD ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"4215 DAVID COX RD, CHARLOTTE, NC"
192,241.0,J M ALEXANDER MIDDLE SCHOOL,Campaigning Permitted,J M ALEXANDER MIDDLE SCHOOL - MULTI-PURPOSE ROOM,"12201 HAMBRIGHT RD, HUNTERSVILLE, NC"
193,242.0,JETTON PARK,Campaigning Permitted,JETTON PARK - WATERFRONT HALL,"19000 JETTON RD, CORNELIUS, NC"
194,243.0,PLEASANT HILL PRESBYTERIAN CHURCH,Restricted,PLEASANT HILL PRESBYTERIAN CHURCH - GYM,"15000 YORK RD, CHARLOTTE, NC"
